id,name,instructions,short_description,category,sub_category,image,difficulty_level,rep_range_min,rep_range_max,recommended_duration_seconds,recommended_rest_seconds,estimated_calories_per_minute,range_of_motion,injury_risk_level,next_progression_exercise,previous_progression_exercise
253,Tirage Unilateral 34,Instructions generees pour Tirage Unilateral 34. Gardez une bonne posture.,Exercice de type Musculation ciblant Bras.,Musculation,Bras,img_253.png,Debutant,10,5,45,90,7.0,Complet,Moyen,,
254,Tirage Decline 23,Instructions generees pour Tirage Decline 23. Gardez une bonne posture.,Exercice de type Musculation ciblant Pectoraux.,Musculation,Pectoraux,img_254.png,Intermediaire,3,8,45,30,5.0,Complet,Eleve,,
255,Session Fractionne 255,Instructions generees pour Session Fractionne 255. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_255.png,Avance,,,1200,0,15.0,Partiel,Moyen,235,234
256,Saut Claquee 256,Instructions generees pour Saut Claquee 256. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Pectoraux.,Poids du Corps,Pectoraux,img_256.png,Avance,10,50,45,30,4.0,Etendu,Faible,141,140
257,Tirage Statique 257,Instructions generees pour Tirage Statique 257. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Pectoraux.,Poids du Corps,Pectoraux,img_257.png,Debutant,10,10,60,90,5.0,Etendu,Faible,,
258,Tirage Saute 258,Instructions generees pour Tirage Saute 258. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Bras.,Poids du Corps,Bras,img_258.png,Avance,15,10,120,90,8.0,Complet,Faible,,
259,Session Sprint 259,Instructions generees pour Session Sprint 259. Gardez une bonne posture.,Exercice de type Cardio ciblant Agilite.,Cardio,Agilite,img_259.png,Debutant,,,1800,0,10.0,Etendu,Moyen,106,105
260,Gainage Claquee 260,Instructions generees pour Gainage Claquee 260. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Jambes.,Poids du Corps,Jambes,img_260.png,Debutant,15,15,60,30,6.0,Complet,Faible,17,16
261,Fentes Halteres 68,Instructions generees pour Fentes Halteres 68. Gardez une bonne posture.,Exercice de type Musculation ciblant Pectoraux.,Musculation,Pectoraux,img_261.png,Debutant,3,8,30,60,9.0,Etendu,Moyen,,
262,Developpe Claquee 262,Instructions generees pour Developpe Claquee 262. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Jambes.,Poids du Corps,Jambes,img_262.png,Intermediaire,8,50,45,120,4.0,Partiel,Moyen,9,8
263,Course Halteres 93,Instructions generees pour Course Halteres 93. Gardez une bonne posture.,Exercice de type Musculation ciblant Epaules.,Musculation,Epaules,img_263.png,Intermediaire,8,5,90,120,5.0,Partiel,Eleve,,
264,Course Saute 264,Instructions generees pour Course Saute 264. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Bras.,Poids du Corps,Bras,img_264.png,Intermediaire,8,10,60,90,6.0,Partiel,Faible,46,45
265,Saut Statique 265,Instructions generees pour Saut Statique 265. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Dos.,Poids du Corps,Dos,img_265.png,Intermediaire,15,20,45,120,8.0,Etendu,Moyen,,
266,Pompes Poulie 54,Instructions generees pour Pompes Poulie 54. Gardez une bonne posture.,Exercice de type Musculation ciblant Bras.,Musculation,Bras,img_266.png,Avance,10,8,45,90,7.0,Etendu,Eleve,,
267,Pompes Bande Elastique 23,Instructions generees pour Pompes Bande Elastique 23. Gardez une bonne posture.,Exercice de type Musculation ciblant Jambes.,Musculation,Jambes,img_267.png,Intermediaire,10,15,120,90,5.0,Partiel,Moyen,,
268,Session Fractionne 268,Instructions generees pour Session Fractionne 268. Gardez une bonne posture.,Exercice de type Cardio ciblant HIIT.,Cardio,HIIT,img_268.png,Avance,,,600,0,8.0,Partiel,Moyen,,
269,Crunch Decline 33,Instructions generees pour Crunch Decline 33. Gardez une bonne posture.,Exercice de type Musculation ciblant Bras.,Musculation,Bras,img_269.png,Avance,8,12,90,120,7.0,Complet,Eleve,,
270,Developpe Incline 59,Instructions generees pour Developpe Incline 59. Gardez une bonne posture.,Exercice de type Musculation ciblant Epaules.,Musculation,Epaules,img_270.png,Debutant,3,8,30,120,5.0,Etendu,Moyen,,
271,Pompes Statique 271,Instructions generees pour Pompes Statique 271. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Dos.,Poids du Corps,Dos,img_271.png,Avance,15,50,30,90,5.0,Etendu,Moyen,216,215
272,Developpe Statique 272,Instructions generees pour Developpe Statique 272. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Dos.,Poids du Corps,Dos,img_272.png,Debutant,5,15,60,120,4.0,Complet,Faible,236,235
273,Tirage Lent 273,Instructions generees pour Tirage Lent 273. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Jambes.,Poids du Corps,Jambes,img_273.png,Avance,10,10,90,90,5.0,Etendu,Moyen,240,239
274,Fentes Claquee 274,Instructions generees pour Fentes Claquee 274. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Jambes.,Poids du Corps,Jambes,img_274.png,Debutant,10,50,120,30,4.0,Etendu,Moyen,167,166
275,Session Sprint 275,Instructions generees pour Session Sprint 275. Gardez une bonne posture.,Exercice de type Cardio ciblant Agilite.,Cardio,Agilite,img_275.png,Debutant,,,1200,0,12.0,Etendu,Faible,68,67
276,Gainage Saute 276,Instructions generees pour Gainage Saute 276. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Jambes.,Poids du Corps,Jambes,img_276.png,Avance,8,10,30,90,5.0,Complet,Moyen,,
277,Session Endurance 277,Instructions generees pour Session Endurance 277. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_277.png,Debutant,,,1200,0,8.0,Etendu,Moyen,,
278,Session Sprint 278,Instructions generees pour Session Sprint 278. Gardez une bonne posture.,Exercice de type Cardio ciblant Agilite.,Cardio,Agilite,img_278.png,Debutant,,,1200,0,12.0,Partiel,Faible,,
279,Course Kettlebell 57,Instructions generees pour Course Kettlebell 57. Gardez une bonne posture.,Exercice de type Musculation ciblant Jambes.,Musculation,Jambes,img_279.png,Avance,10,12,60,30,7.0,Partiel,Moyen,103,102
280,Gainage Statique 280,Instructions generees pour Gainage Statique 280. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Pectoraux.,Poids du Corps,Pectoraux,img_280.png,Avance,10,20,30,30,6.0,Partiel,Faible,,
281,Squat Bande Elastique 99,Instructions generees pour Squat Bande Elastique 99. Gardez une bonne posture.,Exercice de type Musculation ciblant Bras.,Musculation,Bras,img_281.png,Intermediaire,3,5,90,30,9.0,Complet,Eleve,226,225
282,Crunch Statique 282,Instructions generees pour Crunch Statique 282. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Bras.,Poids du Corps,Bras,img_282.png,Intermediaire,10,10,120,90,8.0,Partiel,Faible,213,212
283,Gainage Decline 55,Instructions generees pour Gainage Decline 55. Gardez une bonne posture.,Exercice de type Musculation ciblant Jambes.,Musculation,Jambes,img_283.png,Debutant,10,5,45,30,5.0,Partiel,Eleve,237,236
284,Fentes Poulie 4,Instructions generees pour Fentes Poulie 4. Gardez une bonne posture.,Exercice de type Musculation ciblant Pectoraux.,Musculation,Pectoraux,img_284.png,Debutant,10,15,30,90,7.0,Etendu,Moyen,249,248
285,Gainage Bande Elastique 83,Instructions generees pour Gainage Bande Elastique 83. Gardez une bonne posture.,Exercice de type Musculation ciblant Pectoraux.,Musculation,Pectoraux,img_285.png,Avance,10,12,30,60,7.0,Complet,Eleve,,
286,Squat Kettlebell 60,Instructions generees pour Squat Kettlebell 60. Gardez une bonne posture.,Exercice de type Musculation ciblant Bras.,Musculation,Bras,img_286.png,Avance,3,5,120,60,5.0,Partiel,Moyen,,
287,Pompes Barre 64,Instructions generees pour Pompes Barre 64. Gardez une bonne posture.,Exercice de type Musculation ciblant Jambes.,Musculation,Jambes,img_287.png,Avance,3,5,90,90,5.0,Partiel,Eleve,,
288,Session Sprint 288,Instructions generees pour Session Sprint 288. Gardez une bonne posture.,Exercice de type Cardio ciblant HIIT.,Cardio,HIIT,img_288.png,Avance,,,1800,0,12.0,Etendu,Faible,,
289,Fentes Saute 289,Instructions generees pour Fentes Saute 289. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Dos.,Poids du Corps,Dos,img_289.png,Intermediaire,8,15,30,90,5.0,Etendu,Moyen,,
290,Session Endurance 290,Instructions generees pour Session Endurance 290. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_290.png,Avance,,,1800,0,10.0,Partiel,Faible,203,202
291,Tirage Bande Elastique 76,Instructions generees pour Tirage Bande Elastique 76. Gardez une bonne posture.,Exercice de type Musculation ciblant Jambes.,Musculation,Jambes,img_291.png,Debutant,10,12,60,30,5.0,Complet,Eleve,130,129
292,Tirage Saute 292,Instructions generees pour Tirage Saute 292. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Pectoraux.,Poids du Corps,Pectoraux,img_292.png,Debutant,10,50,45,60,4.0,Etendu,Faible,187,186
293,Gainage Barre 50,Instructions generees pour Gainage Barre 50. Gardez une bonne posture.,Exercice de type Musculation ciblant Pectoraux.,Musculation,Pectoraux,img_293.png,Avance,5,5,30,120,5.0,Complet,Eleve,,
294,Session Sprint 294,Instructions generees pour Session Sprint 294. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_294.png,Debutant,,,1800,0,10.0,Partiel,Moyen,78,77
295,Pompes Halteres 53,Instructions generees pour Pompes Halteres 53. Gardez une bonne posture.,Exercice de type Musculation ciblant Dos.,Musculation,Dos,img_295.png,Debutant,5,8,120,30,5.0,Etendu,Moyen,,
296,Souleve Claquee 296,Instructions generees pour Souleve Claquee 296. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Bras.,Poids du Corps,Bras,img_296.png,Intermediaire,8,15,60,120,5.0,Complet,Moyen,,
297,Developpe Decline 16,Instructions generees pour Developpe Decline 16. Gardez une bonne posture.,Exercice de type Musculation ciblant Pectoraux.,Musculation,Pectoraux,img_297.png,Debutant,10,5,30,90,7.0,Etendu,Eleve,,
298,Squat Statique 298,Instructions generees pour Squat Statique 298. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Jambes.,Poids du Corps,Jambes,img_298.png,Debutant,15,50,60,120,4.0,Partiel,Moyen,,
299,Session Endurance 299,Instructions generees pour Session Endurance 299. Gardez une bonne posture.,Exercice de type Cardio ciblant HIIT.,Cardio,HIIT,img_299.png,Intermediaire,,,1200,0,8.0,Complet,Moyen,258,257
300,Session Endurance 300,Instructions generees pour Session Endurance 300. Gardez une bonne posture.,Exercice de type Cardio ciblant Agilite.,Cardio,Agilite,img_300.png,Debutant,,,1200,0,15.0,Partiel,Moyen,,
301,Session Fractionne 301,Instructions generees pour Session Fractionne 301. Gardez une bonne posture.,Exercice de type Cardio ciblant Agilite.,Cardio,Agilite,img_301.png,Intermediaire,,,600,0,8.0,Etendu,Moyen,,
302,Session Sprint 302,Instructions generees pour Session Sprint 302. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_302.png,Debutant,,,1200,0,12.0,Complet,Moyen,108,107
303,Session Endurance 303,Instructions generees pour Session Endurance 303. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_303.png,Avance,,,600,0,15.0,Complet,Faible,,
304,Fentes Lent 304,Instructions generees pour Fentes Lent 304. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Pectoraux.,Poids du Corps,Pectoraux,img_304.png,Avance,5,50,45,30,6.0,Partiel,Moyen,,
305,Session Endurance 305,Instructions generees pour Session Endurance 305. Gardez une bonne posture.,Exercice de type Cardio ciblant Agilite.,Cardio,Agilite,img_305.png,Avance,,,1200,0,8.0,Etendu,Moyen,150,149
306,Session Sprint 306,Instructions generees pour Session Sprint 306. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_306.png,Debutant,,,1800,0,12.0,Etendu,Faible,,
307,Pompes Halteres 3,Instructions generees pour Pompes Halteres 3. Gardez une bonne posture.,Exercice de type Musculation ciblant Epaules.,Musculation,Epaules,img_307.png,Debutant,8,5,30,30,7.0,Partiel,Eleve,,
308,Session Sprint 308,Instructions generees pour Session Sprint 308. Gardez une bonne posture.,Exercice de type Cardio ciblant Agilite.,Cardio,Agilite,img_308.png,Intermediaire,,,600,0,12.0,Complet,Moyen,249,248
309,Session Sprint 309,Instructions generees pour Session Sprint 309. Gardez une bonne posture.,Exercice de type Cardio ciblant HIIT.,Cardio,HIIT,img_309.png,Debutant,,,1200,0,8.0,Partiel,Moyen,195,194
310,Developpe Barre 91,Instructions generees pour Developpe Barre 91. Gardez une bonne posture.,Exercice de type Musculation ciblant Dos.,Musculation,Dos,img_310.png,Debutant,8,12,30,30,5.0,Partiel,Moyen,,
311,Fentes Bande Elastique 89,Instructions generees pour Fentes Bande Elastique 89. Gardez une bonne posture.,Exercice de type Musculation ciblant Bras.,Musculation,Bras,img_311.png,Avance,5,15,30,120,9.0,Etendu,Moyen,,
312,Saut Claquee 312,Instructions generees pour Saut Claquee 312. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Abdominaux.,Poids du Corps,Abdominaux,img_312.png,Intermediaire,5,50,90,30,8.0,Partiel,Moyen,251,250
313,Session Sprint 313,Instructions generees pour Session Sprint 313. Gardez une bonne posture.,Exercice de type Cardio ciblant Agilite.,Cardio,Agilite,img_313.png,Avance,,,600,0,12.0,Etendu,Faible,,
314,Fentes Unilateral 19,Instructions generees pour Fentes Unilateral 19. Gardez une bonne posture.,Exercice de type Musculation ciblant Dos.,Musculation,Dos,img_314.png,Debutant,8,8,45,90,7.0,Complet,Eleve,289,288
315,Fentes Lent 315,Instructions generees pour Fentes Lent 315. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Pectoraux.,Poids du Corps,Pectoraux,img_315.png,Avance,8,20,30,90,5.0,Complet,Faible,186,185
316,Course Claquee 316,Instructions generees pour Course Claquee 316. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Pectoraux.,Poids du Corps,Pectoraux,img_316.png,Avance,15,20,90,60,5.0,Etendu,Moyen,93,92
317,Souleve Claquee 317,Instructions generees pour Souleve Claquee 317. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Abdominaux.,Poids du Corps,Abdominaux,img_317.png,Avance,5,20,45,30,8.0,Complet,Faible,,
318,Fentes Kettlebell 2,Instructions generees pour Fentes Kettlebell 2. Gardez une bonne posture.,Exercice de type Musculation ciblant Epaules.,Musculation,Epaules,img_318.png,Avance,3,8,45,120,7.0,Etendu,Eleve,,
319,Session Endurance 319,Instructions generees pour Session Endurance 319. Gardez une bonne posture.,Exercice de type Cardio ciblant HIIT.,Cardio,HIIT,img_319.png,Intermediaire,,,600,0,12.0,Partiel,Moyen,,
320,Session Sprint 320,Instructions generees pour Session Sprint 320. Gardez une bonne posture.,Exercice de type Cardio ciblant HIIT.,Cardio,HIIT,img_320.png,Intermediaire,,,600,0,12.0,Complet,Moyen,100,99
321,Souleve Halteres 46,Instructions generees pour Souleve Halteres 46. Gardez une bonne posture.,Exercice de type Musculation ciblant Pectoraux.,Musculation,Pectoraux,img_321.png,Avance,3,15,120,60,9.0,Partiel,Eleve,,
322,Saut Lent 322,Instructions generees pour Saut Lent 322. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Dos.,Poids du Corps,Dos,img_322.png,Debutant,5,10,90,90,5.0,Partiel,Moyen,164,163
323,Squat Kettlebell 11,Instructions generees pour Squat Kettlebell 11. Gardez une bonne posture.,Exercice de type Musculation ciblant Bras.,Musculation,Bras,img_323.png,Avance,3,12,60,90,7.0,Complet,Moyen,144,143
324,Session Fractionne 324,Instructions generees pour Session Fractionne 324. Gardez une bonne posture.,Exercice de type Cardio ciblant HIIT.,Cardio,HIIT,img_324.png,Avance,,,600,0,15.0,Etendu,Faible,,
325,Pompes Lent 325,Instructions generees pour Pompes Lent 325. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Dos.,Poids du Corps,Dos,img_325.png,Intermediaire,5,10,60,60,6.0,Complet,Faible,40,39
326,Squat Saute 326,Instructions generees pour Squat Saute 326. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Pectoraux.,Poids du Corps,Pectoraux,img_326.png,Avance,8,15,90,120,5.0,Complet,Moyen,,
327,Crunch Poulie 29,Instructions generees pour Crunch Poulie 29. Gardez une bonne posture.,Exercice de type Musculation ciblant Epaules.,Musculation,Epaules,img_327.png,Debutant,10,15,90,60,7.0,Partiel,Moyen,157,156
328,Session Fractionne 328,Instructions generees pour Session Fractionne 328. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_328.png,Avance,,,1800,0,10.0,Partiel,Faible,,
329,Session Fractionne 329,Instructions generees pour Session Fractionne 329. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_329.png,Debutant,,,1800,0,8.0,Partiel,Faible,328,327
330,Session Fractionne 330,Instructions generees pour Session Fractionne 330. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_330.png,Debutant,,,1200,0,15.0,Partiel,Moyen,230,229
331,Saut Unilateral 46,Instructions generees pour Saut Unilateral 46. Gardez une bonne posture.,Exercice de type Musculation ciblant Dos.,Musculation,Dos,img_331.png,Intermediaire,10,12,60,60,5.0,Etendu,Moyen,206,205
332,Squat Incline 47,Instructions generees pour Squat Incline 47. Gardez une bonne posture.,Exercice de type Musculation ciblant Epaules.,Musculation,Epaules,img_332.png,Avance,10,8,45,120,9.0,Etendu,Moyen,187,186
333,Saut Lent 333,Instructions generees pour Saut Lent 333. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Pectoraux.,Poids du Corps,Pectoraux,img_333.png,Avance,8,15,120,60,6.0,Etendu,Faible,,
334,Course Incline 9,Instructions generees pour Course Incline 9. Gardez une bonne posture.,Exercice de type Musculation ciblant Pectoraux.,Musculation,Pectoraux,img_334.png,Intermediaire,10,5,45,30,5.0,Complet,Eleve,,
335,Session Sprint 335,Instructions generees pour Session Sprint 335. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_335.png,Intermediaire,,,1200,0,15.0,Complet,Faible,,
336,Gainage Incline 90,Instructions generees pour Gainage Incline 90. Gardez une bonne posture.,Exercice de type Musculation ciblant Bras.,Musculation,Bras,img_336.png,Intermediaire,5,15,120,120,9.0,Etendu,Moyen,,
337,Session Endurance 337,Instructions generees pour Session Endurance 337. Gardez une bonne posture.,Exercice de type Cardio ciblant Agilite.,Cardio,Agilite,img_337.png,Intermediaire,,,600,0,15.0,Partiel,Moyen,,
338,Saut Statique 338,Instructions generees pour Saut Statique 338. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Pectoraux.,Poids du Corps,Pectoraux,img_338.png,Intermediaire,10,15,90,120,4.0,Etendu,Moyen,186,185
339,Session Endurance 339,Instructions generees pour Session Endurance 339. Gardez une bonne posture.,Exercice de type Cardio ciblant HIIT.,Cardio,HIIT,img_339.png,Avance,,,1200,0,8.0,Partiel,Moyen,,
340,Developpe Statique 340,Instructions generees pour Developpe Statique 340. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Dos.,Poids du Corps,Dos,img_340.png,Debutant,8,50,120,90,6.0,Etendu,Moyen,,
341,Session Fractionne 341,Instructions generees pour Session Fractionne 341. Gardez une bonne posture.,Exercice de type Cardio ciblant Agilite.,Cardio,Agilite,img_341.png,Debutant,,,1200,0,15.0,Complet,Moyen,202,201
342,Tirage Barre 37,Instructions generees pour Tirage Barre 37. Gardez une bonne posture.,Exercice de type Musculation ciblant Epaules.,Musculation,Epaules,img_342.png,Avance,10,5,45,60,7.0,Complet,Eleve,,
343,Developpe Statique 343,Instructions generees pour Developpe Statique 343. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Bras.,Poids du Corps,Bras,img_343.png,Intermediaire,5,50,120,120,5.0,Etendu,Moyen,145,144
344,Session Fractionne 344,Instructions generees pour Session Fractionne 344. Gardez une bonne posture.,Exercice de type Cardio ciblant HIIT.,Cardio,HIIT,img_344.png,Intermediaire,,,600,0,15.0,Complet,Faible,256,255
345,Pompes Saute 345,Instructions generees pour Pompes Saute 345. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Bras.,Poids du Corps,Bras,img_345.png,Intermediaire,8,10,45,60,8.0,Etendu,Moyen,215,214
346,Session Sprint 346,Instructions generees pour Session Sprint 346. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_346.png,Avance,,,1200,0,15.0,Complet,Moyen,,
347,Crunch Saute 347,Instructions generees pour Crunch Saute 347. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Jambes.,Poids du Corps,Jambes,img_347.png,Intermediaire,5,50,60,30,4.0,Etendu,Faible,248,247
348,Gainage Saute 348,Instructions generees pour Gainage Saute 348. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Jambes.,Poids du Corps,Jambes,img_348.png,Intermediaire,5,20,60,60,6.0,Etendu,Moyen,284,283
349,Session Fractionne 349,Instructions generees pour Session Fractionne 349. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_349.png,Intermediaire,,,1200,0,12.0,Partiel,Faible,81,80
350,Squat Lent 350,Instructions generees pour Squat Lent 350. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Jambes.,Poids du Corps,Jambes,img_350.png,Avance,10,20,30,90,4.0,Complet,Faible,36,35
351,Session Endurance 351,Instructions generees pour Session Endurance 351. Gardez une bonne posture.,Exercice de type Cardio ciblant Agilite.,Cardio,Agilite,img_351.png,Avance,,,600,0,15.0,Complet,Faible,289,288
352,Developpe Unilateral 21,Instructions generees pour Developpe Unilateral 21. Gardez une bonne posture.,Exercice de type Musculation ciblant Epaules.,Musculation,Epaules,img_352.png,Intermediaire,3,5,60,90,7.0,Etendu,Eleve,102,101
353,Pompes Claquee 353,Instructions generees pour Pompes Claquee 353. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Dos.,Poids du Corps,Dos,img_353.png,Avance,10,50,45,60,5.0,Etendu,Moyen,51,50
354,Squat Statique 354,Instructions generees pour Squat Statique 354. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Pectoraux.,Poids du Corps,Pectoraux,img_354.png,Avance,8,15,120,60,5.0,Complet,Faible,36,35
355,Session Fractionne 355,Instructions generees pour Session Fractionne 355. Gardez une bonne posture.,Exercice de type Cardio ciblant HIIT.,Cardio,HIIT,img_355.png,Avance,,,1800,0,15.0,Partiel,Moyen,171,170
356,Gainage Saute 356,Instructions generees pour Gainage Saute 356. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Jambes.,Poids du Corps,Jambes,img_356.png,Avance,10,20,90,120,5.0,Etendu,Moyen,250,249
357,Saut Claquee 357,Instructions generees pour Saut Claquee 357. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Pectoraux.,Poids du Corps,Pectoraux,img_357.png,Avance,10,50,45,90,4.0,Complet,Moyen,,
358,Course Saute 358,Instructions generees pour Course Saute 358. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Jambes.,Poids du Corps,Jambes,img_358.png,Debutant,10,20,30,30,4.0,Complet,Moyen,229,228
359,Saut Lent 359,Instructions generees pour Saut Lent 359. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Bras.,Poids du Corps,Bras,img_359.png,Intermediaire,10,15,90,90,4.0,Partiel,Moyen,135,134
360,Souleve Bande Elastique 34,Instructions generees pour Souleve Bande Elastique 34. Gardez une bonne posture.,Exercice de type Musculation ciblant Pectoraux.,Musculation,Pectoraux,img_360.png,Avance,5,5,45,30,5.0,Etendu,Moyen,311,310
361,Session Sprint 361,Instructions generees pour Session Sprint 361. Gardez une bonne posture.,Exercice de type Cardio ciblant HIIT.,Cardio,HIIT,img_361.png,Intermediaire,,,600,0,12.0,Partiel,Faible,,
362,Developpe Unilateral 49,Instructions generees pour Developpe Unilateral 49. Gardez une bonne posture.,Exercice de type Musculation ciblant Dos.,Musculation,Dos,img_362.png,Debutant,5,15,30,60,7.0,Partiel,Eleve,,
363,Session Sprint 363,Instructions generees pour Session Sprint 363. Gardez une bonne posture.,Exercice de type Cardio ciblant Agilite.,Cardio,Agilite,img_363.png,Intermediaire,,,1200,0,15.0,Etendu,Faible,,
364,Session Endurance 364,Instructions generees pour Session Endurance 364. Gardez une bonne posture.,Exercice de type Cardio ciblant Agilite.,Cardio,Agilite,img_364.png,Avance,,,1200,0,12.0,Complet,Faible,,
365,Souleve Lent 365,Instructions generees pour Souleve Lent 365. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Bras.,Poids du Corps,Bras,img_365.png,Debutant,10,50,90,60,4.0,Etendu,Moyen,68,67
366,Squat Halteres 29,Instructions generees pour Squat Halteres 29. Gardez une bonne posture.,Exercice de type Musculation ciblant Epaules.,Musculation,Epaules,img_366.png,Debutant,5,5,30,120,7.0,Etendu,Eleve,86,85
367,Pompes Saute 367,Instructions generees pour Pompes Saute 367. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Bras.,Poids du Corps,Bras,img_367.png,Intermediaire,15,50,60,30,6.0,Complet,Moyen,,
368,Crunch Statique 368,Instructions generees pour Crunch Statique 368. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Dos.,Poids du Corps,Dos,img_368.png,Intermediaire,15,50,45,60,5.0,Complet,Moyen,,
369,Saut Statique 369,Instructions generees pour Saut Statique 369. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Bras.,Poids du Corps,Bras,img_369.png,Avance,5,15,90,90,4.0,Complet,Faible,230,229
370,Gainage Saute 370,Instructions generees pour Gainage Saute 370. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Dos.,Poids du Corps,Dos,img_370.png,Debutant,10,15,90,90,8.0,Etendu,Faible,,
371,Crunch Barre 18,Instructions generees pour Crunch Barre 18. Gardez une bonne posture.,Exercice de type Musculation ciblant Pectoraux.,Musculation,Pectoraux,img_371.png,Avance,8,15,90,90,5.0,Etendu,Moyen,336,335
372,Tirage Halteres 45,Instructions generees pour Tirage Halteres 45. Gardez une bonne posture.,Exercice de type Musculation ciblant Jambes.,Musculation,Jambes,img_372.png,Debutant,8,12,90,120,7.0,Etendu,Eleve,,
373,Souleve Bande Elastique 97,Instructions generees pour Souleve Bande Elastique 97. Gardez une bonne posture.,Exercice de type Musculation ciblant Jambes.,Musculation,Jambes,img_373.png,Intermediaire,3,12,60,90,7.0,Etendu,Eleve,,
374,Session Endurance 374,Instructions generees pour Session Endurance 374. Gardez une bonne posture.,Exercice de type Cardio ciblant HIIT.,Cardio,HIIT,img_374.png,Avance,,,1200,0,8.0,Etendu,Faible,335,334
375,Saut Unilateral 95,Instructions generees pour Saut Unilateral 95. Gardez une bonne posture.,Exercice de type Musculation ciblant Bras.,Musculation,Bras,img_375.png,Avance,5,5,90,90,7.0,Complet,Eleve,262,261
376,Session Endurance 376,Instructions generees pour Session Endurance 376. Gardez une bonne posture.,Exercice de type Cardio ciblant HIIT.,Cardio,HIIT,img_376.png,Debutant,,,600,0,10.0,Complet,Moyen,178,177
377,Course Barre 33,Instructions generees pour Course Barre 33. Gardez une bonne posture.,Exercice de type Musculation ciblant Jambes.,Musculation,Jambes,img_377.png,Intermediaire,8,12,60,90,9.0,Complet,Eleve,,
378,Session Fractionne 378,Instructions generees pour Session Fractionne 378. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_378.png,Debutant,,,1200,0,12.0,Etendu,Moyen,233,232
